Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,35,Household,Offline,M,8/2/2015,5222,8/8/2015,8648,668.27,502.54,9414,9367,9367
Central America and the Caribbean,135,Cosmetics,Offline,H,12/26/2010,9580,1/17/2011,4873,437.2,263.33,7603,7332,8411
North America,177,Household,Online,L,7/1/2015,5598,8/20/2015,3100,668.27,502.54,7555,7706,6740
Middle East and North Africa,70,Vegetables,Offline,L,2/18/2014,7484,4/8/2014,2398,154.06,90.93,2849,2910,3278
Europe,34,Cereal,Online,C,9/15/2015,5451,10/27/2015,3864,205.7,117.11,4771,4660,5242
Asia,163,Clothes,Offline,H,2/22/2011,330,4/5/2011,5629,109.28,35.84,4044,2764,5867
Sub-Saharan Africa,23,Cosmetics,Offline,L,3/5/2015,8806,3/26/2015,7854,437.2,263.33,8516,8146,9294
Europe,99,Cosmetics,Online,M,1/27/2017,8383,3/14/2017,7731,437.2,263.33,8475,8115,9268
Sub-Saharan Africa,28,Cosmetics,Offline,M,10/6/2014,2412,11/15/2014,4483,437.2,263.33,7390,7186,8179
Middle East and North Africa,149,Baby Food,Online,C,1/3/2011,4750,1/21/2011,4367,255.28,159.42,5791,5740,5905
Sub-Saharan Africa,19,Baby Food,Offline,M,3/21/2017,5229,3/30/2017,5667,255.28,159.42,6590,6566,6988
Asia,11,Household,Online,C,10/17/2011,4503,11/15/2011,3701,668.27,502.54,7929,7979,7442
Asia,181,Fruits,Offline,M,1/18/2012,8844,1/24/2012,5818,9.33,6.92,749,822,676
Europe,81,Cereal,Online,M,6/10/2017,5579,6/19/2017,6397,205.7,117.11,6302,5950,7183
Australia and Oceania,7,Vegetables,Online,C,5/8/2013,7493,5/28/2013,1851,154.06,90.93,2389,2431,2705
Europe,36,Cereal,Online,H,9/21/2012,8318,9/27/2012,5620,205.7,117.11,5897,5585,6599
Asia,151,Office Supplies,Offline,M,6/3/2014,7661,6/3/2014,3180,651.21,524.96,7553,7813,5764
Australia and Oceania,148,Fruits,Online,C,8/3/2014,5723,8/28/2014,7034,9.33,6.92,902,1003,805
Sub-Saharan Africa,133,Office Supplies,Offline,C,6/7/2010,8479,6/19/2010,1719,651.21,524.96,5801,6564,4090
Sub-Saharan Africa,87,Clothes,Offline,M,8/2/2011,2977,9/7/2011,8802,109.28,35.84,5320,3879,7633
Sub-Saharan Africa,118,Baby Food,Online,L,8/8/2013,1657,9/7/2013,1883,255.28,159.42,3500,3753,3657
Europe,93,Clothes,Offline,H,11/18/2016,7942,12/9/2016,1589,109.28,35.84,1762,1165,2703
Sub-Saharan Africa,118,Meat,Online,C,4/28/2015,1129,6/11/2015,584,421.89,364.69,2179,2858,1304
Sub-Saharan Africa,95,Snacks,Online,M,3/30/2015,1087,4/24/2015,8559,152.58,97.44,6284,6281,6383
Sub-Saharan Africa,162,Cereal,Online,H,6/14/2016,3593,6/17/2016,7238,205.7,117.11,6702,6342,7607
Asia,154,Household,Offline,H,1/17/2016,5175,1/22/2016,5376,668.27,502.54,8601,8635,8550
Europe,34,Clothes,Online,M,3/3/2012,8060,3/25/2012,3758,109.28,35.84,3115,2085,4687
Sub-Saharan Africa,62,Meat,Offline,H,5/31/2015,5534,7/2/2015,203,421.89,364.69,1172,1477,552
Central America and the Caribbean,134,Baby Food,Online,C,9/10/2014,6291,10/7/2014,4559,255.28,159.42,5913,5861,6072
Europe,128,Office Supplies,Offline,H,5/13/2011,51,6/19/2011,3705,651.21,524.96,7868,8046,6341
Sub-Saharan Africa,22,Office Supplies,Online,C,5/30/2015,2282,6/4/2015,6554,651.21,524.96,8989,8998,8339
Asia,145,Cereal,Offline,H,5/19/2011,9087,6/2/2011,9046,205.7,117.11,7244,6930,8254
Europe,132,Baby Food,Offline,H,3/7/2015,2604,3/16/2015,9157,255.28,159.42,7797,7570,8507
Sub-Saharan Africa,155,Cereal,Offline,H,4/9/2017,5500,5/1/2017,1891,205.7,117.11,2976,2942,3491
Europe,39,Clothes,Online,H,10/3/2016,6377,10/4/2016,4283,109.28,35.84,3437,2289,5020
Middle East and North Africa,108,Household,Online,C,1/5/2010,4637,2/4/2010,402,668.27,502.54,2301,2766,1883
Sub-Saharan Africa,95,Cosmetics,Offline,M,3/17/2017,5283,3/25/2017,6346,437.2,263.33,8132,7816,8944
Sub-Saharan Africa,63,Snacks,Offline,H,5/6/2010,4307,5/26/2010,5245,152.58,97.44,4794,4945,4793
Sub-Saharan Africa,25,Snacks,Offline,M,7/3/2015,3326,7/20/2015,2260,152.58,97.44,2713,2929,2842
Europe,147,Meat,Online,C,8/8/2010,4887,9/15/2010,9583,421.89,364.69,8848,9026,7039
Asia,69,Snacks,Offline,M,6/29/2012,7142,7/30/2012,1438,152.58,97.44,2016,2134,2092
North America,103,Cereal,Offline,H,8/3/2012,9218,9/11/2012,9080,205.7,117.11,7260,6943,8273
Middle East and North Africa,0,Cereal,Online,M,12/8/2010,5864,12/20/2010,5795,205.7,117.11,5991,5680,6735
Europe,56,Snacks,Online,L,6/7/2012,2722,7/21/2012,1900,152.58,97.44,2411,2599,2505
Central America and the Caribbean,32,Cosmetics,Offline,L,6/22/2015,1079,7/29/2015,9745,437.2,263.33,8986,8548,9578
Central America and the Caribbean,60,Beverages,Online,H,9/22/2015,3143,10/26/2015,8708,47.45,31.79,3126,3524,3048
Asia,161,Personal Care,Online,M,6/30/2017,6889,8/12/2017,202,81.73,56.67,222,242,232
Middle East and North Africa,89,Beverages,Online,L,10/19/2014,931,10/25/2014,2668,47.45,31.79,1463,1577,1449
Sub-Saharan Africa,117,Office Supplies,Offline,H,4/16/2010,9834,5/18/2010,6580,651.21,524.96,8997,9008,8351
Europe,53,Personal Care,Online,H,6/19/2011,8848,7/5/2011,9443,81.73,56.67,4689,5080,4313
Asia,20,Personal Care,Online,H,10/2/2011,9100,10/19/2011,793,81.73,56.67,891,939,951
Europe,127,Baby Food,Online,L,12/28/2016,2371,1/30/2017,7197,255.28,159.42,7208,7111,7816
Middle East and North Africa,89,Clothes,Offline,M,5/19/2011,6244,6/13/2011,7255,109.28,35.84,4766,3330,6897
Middle East and North Africa,82,Fruits,Offline,M,4/1/2014,9190,5/12/2014,6596,9.33,6.92,858,952,769
Middle East and North Africa,129,Vegetables,Offline,H,9/17/2015,5418,10/31/2015,2880,154.06,90.93,3305,3351,3671
Europe,157,Cereal,Offline,L,9/21/2010,9760,10/24/2010,802,205.7,117.11,1717,1679,1957
Asia,160,Office Supplies,Online,H,6/16/2010,3100,7/9/2010,7083,651.21,524.96,9095,9151,8556
North America,177,Cosmetics,Offline,L,10/16/2015,6942,11/2/2015,5479,437.2,263.33,7858,7551,8694
Middle East and North Africa,70,Baby Food,Online,H,7/8/2013,8476,8/6/2013,1777,255.28,159.42,3361,3593,3527
Sub-Saharan Africa,165,Household,Offline,C,6/7/2010,6025,6/19/2010,8793,668.27,502.54,9434,9390,9384
Australia and Oceania,112,Household,Online,M,5/23/2014,3254,6/28/2014,1376,668.27,502.54,5170,5722,4214
Sub-Saharan Africa,98,Personal Care,Offline,H,5/20/2015,4921,5/22/2015,1407,81.73,56.67,1408,1535,1337
Middle East and North Africa,170,Snacks,Offline,H,1/15/2012,1365,2/16/2012,2795,152.58,97.44,3203,3471,3319
Central America and the Caribbean,75,Clothes,Online,M,5/30/2015,3895,6/30/2015,6484,109.28,35.84,4429,3057,6423
Asia,171,Household,Offline,H,11/23/2014,9483,12/11/2014,5448,668.27,502.54,8631,8653,8572
Europe,74,Clothes,Online,C,4/25/2012,5892,4/29/2012,9690,109.28,35.84,5610,4115,7922
Sub-Saharan Africa,155,Baby Food,Online,H,7/24/2010,6732,8/2/2010,1248,255.28,159.42,2584,2733,2746
Europe,174,Clothes,Online,H,5/15/2017,6225,6/28/2017,9188,109.28,35.84,5443,3979,7756
Asia,151,Household,Online,M,4/4/2011,4661,5/5/2011,4609,668.27,502.54,8299,8345,8134
Sub-Saharan Africa,23,Clothes,Offline,C,6/13/2013,2759,7/15/2013,5642,109.28,35.84,4049,2767,5877
Europe,127,Snacks,Offline,M,12/13/2015,7311,1/3/2016,2446,152.58,97.44,2868,3121,3022
Sub-Saharan Africa,111,Household,Online,H,8/10/2015,5810,8/21/2015,2216,668.27,502.54,6683,7048,5459
Asia,178,Snacks,Offline,M,5/6/2010,1455,6/5/2010,4174,152.58,97.44,4143,4435,4241
Asia,160,Baby Food,Online,H,7/3/2010,8215,8/13/2010,4574,255.28,159.42,5922,5872,6086
Europe,81,Meat,Online,L,5/5/2012,6080,5/27/2012,1704,421.89,364.69,4474,5440,2384
Australia and Oceania,137,Beverages,Offline,M,12/24/2016,5492,2/2/2017,881,47.45,31.79,565,563,664
Sub-Saharan Africa,62,Office Supplies,Offline,H,6/12/2011,2822,7/6/2011,9453,651.21,524.96,9496,9546,9080
Asia,97,Meat,Offline,L,5/4/2010,5292,6/14/2010,1801,421.89,364.69,4640,5581,2478
Asia,106,Cosmetics,Offline,H,3/9/2014,5758,3/31/2014,4334,437.2,263.33,7299,7098,8093
Europe,56,Personal Care,Offline,C,3/17/2013,7967,4/24/2013,496,81.73,56.67,539,565,595
Europe,67,Clothes,Offline,M,11/6/2013,1528,11/26/2013,5761,109.28,35.84,4106,2793,5941
Australia and Oceania,167,Personal Care,Online,M,3/31/2012,6582,5/9/2012,2633,81.73,56.67,1998,2239,1873
Australia and Oceania,100,Cereal,Offline,C,3/9/2013,9183,4/7/2013,5648,205.7,117.11,5910,5596,6616
Europe,81,Beverages,Online,L,2/26/2011,6246,3/11/2011,6374,47.45,31.79,2490,2770,2424
Europe,53,Snacks,Offline,L,11/5/2016,376,12/1/2016,8409,152.58,97.44,6213,6222,6301
Middle East and North Africa,149,Meat,Online,L,7/9/2015,4971,8/21/2015,2383,421.89,364.69,5450,6434,3046
Europe,72,Office Supplies,Online,C,3/19/2016,9162,5/8/2016,958,651.21,524.96,4079,4901,2771
Europe,131,Cosmetics,Online,C,2/9/2010,2998,3/4/2010,3825,437.2,263.33,7014,6836,7715
Asia,126,Cereal,Online,M,2/26/2012,2204,2/26/2012,2709,205.7,117.11,3804,3893,4356
Middle East and North Africa,169,Office Supplies,Offline,H,11/14/2011,3239,11/24/2011,6365,651.21,524.96,8919,8956,8270
Sub-Saharan Africa,94,Meat,Offline,H,12/26/2014,8450,2/7/2015,5577,421.89,364.69,7815,8112,5058
Asia,17,Personal Care,Offline,L,12/6/2016,1056,12/31/2016,8165,81.73,56.67,4264,4716,3948
Asia,69,Personal Care,Offline,H,3/17/2014,9748,3/18/2014,3975,81.73,56.67,2624,2981,2422
Europe,93,Personal Care,Online,H,9/27/2015,4309,11/16/2015,9890,81.73,56.67,4829,5207,4446
Central America and the Caribbean,60,Meat,Offline,L,5/11/2016,41,5/26/2016,4818,421.89,364.69,7508,7891,4681
Europe,91,Vegetables,Offline,L,10/9/2015,3251,11/7/2015,4704,154.06,90.93,4498,4529,4863
Central America and the Caribbean,164,Personal Care,Online,M,9/22/2014,5926,10/27/2014,7519,81.73,56.67,4039,4518,3742
Middle East and North Africa,2,Fruits,Online,L,4/7/2011,848,4/25/2011,8270,9.33,6.92,1065,1171,955
Middle East and North Africa,82,Household,Online,M,1/22/2012,6579,2/16/2012,3993,668.27,502.54,8073,8095,7705
Asia,97,Personal Care,Online,H,6/27/2013,2422,8/6/2013,8755,81.73,56.67,4460,4867,4117
Asia,97,Vegetables,Online,L,12/30/2012,3519,1/10/2013,8654,154.06,90.93,6339,6104,7024
Sub-Saharan Africa,143,Meat,Offline,M,11/19/2012,5762,12/14/2012,6820,421.89,364.69,8191,8476,5659
Australia and Oceania,179,Cosmetics,Offline,L,7/6/2016,875,8/6/2016,8415,437.2,263.33,8645,8263,9389
Europe,104,Household,Online,M,12/11/2016,1296,12/28/2016,5630,668.27,502.54,8690,8687,8641
Asia,11,Cereal,Online,C,11/20/2015,5306,12/26/2015,2691,205.7,117.11,3788,3876,4325
Australia and Oceania,50,Household,Offline,C,4/27/2012,1861,5/23/2012,850,668.27,502.54,3856,4528,3114
Europe,85,Cosmetics,Online,M,11/14/2013,5813,12/24/2013,3395,437.2,263.33,6691,6527,7318
Sub-Saharan Africa,141,Clothes,Offline,C,4/15/2010,2779,5/4/2010,643,109.28,35.84,970,469,1543
Sub-Saharan Africa,40,Baby Food,Online,C,2/9/2015,4118,2/27/2015,4943,255.28,159.42,6154,6108,6405
Sub-Saharan Africa,109,Beverages,Online,C,6/6/2016,1933,7/5/2016,5674,47.45,31.79,2304,2551,2244
Sub-Saharan Africa,101,Baby Food,Offline,M,12/29/2010,4215,1/7/2011,4248,255.28,159.42,5708,5675,5816
Sub-Saharan Africa,63,Baby Food,Online,C,7/10/2015,9613,7/12/2015,9106,255.28,159.42,7782,7565,8493
Sub-Saharan Africa,23,Vegetables,Offline,H,7/11/2017,2740,7/26/2017,723,154.06,90.93,1386,1368,1520
Sub-Saharan Africa,156,Meat,Online,M,12/7/2016,8740,1/20/2017,6604,421.89,364.69,8141,8409,5548
Central America and the Caribbean,135,Snacks,Online,C,9/29/2014,8784,11/16/2014,6284,152.58,97.44,5307,5402,5275
Central America and the Caribbean,41,Household,Online,L,10/17/2016,4718,11/11/2016,6331,668.27,502.54,8976,8853,8854
Middle East and North Africa,169,Fruits,Offline,H,11/10/2014,4030,12/15/2014,5344,9.33,6.92,678,756,613
Central America and the Caribbean,5,Household,Online,L,2/13/2013,5247,3/12/2013,8952,668.27,502.54,9457,9413,9402
Europe,14,Beverages,Online,C,11/2/2016,2512,11/15/2016,4817,47.45,31.79,2067,2286,2032
Sub-Saharan Africa,29,Cereal,Online,H,5/25/2013,743,7/9/2013,7631,205.7,117.11,6883,6525,7761
Sub-Saharan Africa,133,Baby Food,Online,H,12/20/2013,766,1/24/2014,4117,255.28,159.42,5583,5579,5702
Middle East and North Africa,121,Meat,Offline,M,11/8/2011,4121,12/14/2011,8031,421.89,364.69,8480,8732,6256
Middle East and North Africa,77,Office Supplies,Online,M,7/27/2016,7964,8/9/2016,5159,651.21,524.96,8468,8640,7657
Europe,176,Vegetables,Online,H,3/10/2012,642,3/30/2012,8317,154.06,90.93,6207,5977,6831
Sub-Saharan Africa,152,Clothes,Offline,H,2/22/2014,5791,3/18/2014,2356,109.28,35.84,2236,1573,3566
Europe,13,Office Supplies,Online,C,6/3/2012,8139,7/3/2012,9154,651.21,524.96,9450,9502,9013
Sub-Saharan Africa,130,Meat,Offline,M,3/24/2013,8174,3/29/2013,2622,421.89,364.69,5775,6726,3258
Europe,127,Household,Online,L,6/18/2012,7126,6/26/2012,3704,668.27,502.54,7934,7984,7450
Sub-Saharan Africa,49,Snacks,Online,H,9/4/2014,1927,9/13/2014,5372,152.58,97.44,4876,5014,4855
Middle East and North Africa,77,Meat,Offline,C,2/12/2014,333,2/26/2014,7632,421.89,364.69,8379,8664,6062
Europe,6,Personal Care,Offline,H,9/2/2013,5936,10/20/2013,2520,81.73,56.67,1936,2170,1820
Sub-Saharan Africa,184,Fruits,Offline,H,7/4/2013,3083,7/22/2013,9103,9.33,6.92,1164,1305,1062
Sub-Saharan Africa,144,Office Supplies,Online,M,11/9/2014,1938,12/27/2014,8479,651.21,524.96,9352,9401,8890
Europe,18,Baby Food,Offline,C,3/24/2016,3318,5/13/2016,8779,255.28,159.42,7703,7479,8382
Europe,14,Clothes,Online,M,3/12/2017,3951,4/29/2017,164,109.28,35.84,250,117,575
Europe,13,Office Supplies,Online,H,8/12/2014,1316,8/17/2014,9826,651.21,524.96,9554,9581,9147
Central America and the Caribbean,124,Household,Online,L,12/21/2013,8591,2/8/2014,6989,668.27,502.54,9108,9043,9021
Asia,119,Cereal,Offline,L,6/21/2010,9963,8/3/2010,7907,205.7,117.11,6950,6630,7860
Middle East and North Africa,44,Cosmetics,Online,M,7/7/2015,5109,7/21/2015,867,437.2,263.33,2899,3020,3265
Asia,17,Vegetables,Online,H,1/26/2015,4646,2/25/2015,1187,154.06,90.93,1807,1830,2023
Europe,128,Snacks,Offline,H,4/26/2011,4915,5/15/2011,6214,152.58,97.44,5267,5378,5246
Sub-Saharan Africa,117,Cereal,Offline,C,4/14/2011,3078,4/14/2011,329,205.7,117.11,940,785,1231
Europe,18,Cosmetics,Online,C,6/29/2015,2169,7/2/2015,9942,437.2,263.33,9023,8590,9591
Europe,127,Fruits,Offline,C,3/2/2014,5777,4/20/2014,8497,9.33,6.92,1088,1212,985
Sub-Saharan Africa,54,Cosmetics,Online,C,10/1/2013,3492,10/18/2013,1467,437.2,263.33,4162,4337,4506
Asia,151,Cosmetics,Offline,H,5/20/2010,5524,6/20/2010,1356,437.2,263.33,3966,4184,4302
Asia,154,Beverages,Online,H,6/1/2016,7923,6/25/2016,2701,47.45,31.79,1476,1584,1458
Asia,151,Fruits,Offline,M,3/13/2011,7617,3/31/2011,7070,9.33,6.92,908,1010,811
Australia and Oceania,7,Beverages,Offline,C,12/27/2012,7191,12/27/2012,8060,47.45,31.79,2935,3288,2876
Asia,163,Meat,Online,M,8/18/2014,38,9/30/2014,6302,421.89,364.69,8066,8325,5401
Australia and Oceania,167,Personal Care,Offline,H,1/3/2010,5351,2/6/2010,4457,81.73,56.67,2815,3257,2612
Middle East and North Africa,86,Clothes,Offline,C,1/7/2013,3023,2/25/2013,2217,109.28,35.84,2153,1532,3435
Europe,58,Cosmetics,Offline,C,11/25/2015,8871,12/22/2015,1306,437.2,263.33,3865,4095,4201
Europe,120,Office Supplies,Offline,M,9/29/2015,9468,11/12/2015,479,651.21,524.96,2550,3242,1779
Europe,52,Meat,Offline,H,9/13/2010,7051,10/24/2010,521,421.89,364.69,2017,2652,1241
Europe,18,Snacks,Offline,M,5/9/2011,4762,6/25/2011,9251,152.58,97.44,6514,6559,6698
Europe,146,Fruits,Online,M,3/14/2014,1360,3/17/2014,6517,9.33,6.92,845,944,758
Europe,107,Baby Food,Online,M,1/5/2013,6666,2/15/2013,9199,255.28,159.42,7811,7582,8528
Central America and the Caribbean,42,Snacks,Offline,L,3/19/2010,5949,3/21/2010,6208,152.58,97.44,5262,5377,5241
Sub-Saharan Africa,63,Clothes,Offline,L,1/22/2013,5555,2/12/2013,3486,109.28,35.84,2919,1997,4520
Sub-Saharan Africa,29,Office Supplies,Offline,H,9/30/2014,7413,11/9/2014,9006,651.21,524.96,9430,9478,8981
Europe,146,Personal Care,Online,H,4/20/2013,4369,6/2/2013,7775,81.73,56.67,4137,4599,3822
Asia,163,Clothes,Online,H,5/28/2015,4879,6/24/2015,6828,109.28,35.84,4583,3169,6627
Asia,20,Clothes,Offline,C,6/7/2017,8273,7/5/2017,232,109.28,35.84,346,178,810
Europe,93,Clothes,Online,M,10/31/2016,9863,12/12/2016,4086,109.28,35.84,3320,2209,4886
Asia,20,Fruits,Offline,H,11/25/2015,5421,12/1/2015,1520,9.33,6.92,196,226,176
Europe,58,Personal Care,Online,M,6/4/2010,6595,6/26/2010,7695,81.73,56.67,4104,4573,3794
Europe,99,Baby Food,Offline,H,3/9/2016,5850,4/4/2016,4803,255.28,159.42,6069,6031,6271
Asia,68,Meat,Offline,C,3/6/2012,1541,3/24/2012,7068,421.89,364.69,8249,8559,5784
Europe,93,Office Supplies,Offline,C,7/11/2012,2643,8/21/2012,5745,651.21,524.96,8675,8775,7990
Sub-Saharan Africa,31,Office Supplies,Online,L,4/11/2017,3887,5/26/2017,4121,651.21,524.96,8080,8226,6790
Europe,99,Clothes,Online,M,3/8/2016,970,3/30/2016,2511,109.28,35.84,2327,1634,3698
Australia and Oceania,112,Baby Food,Online,C,3/20/2015,5242,4/16/2015,3266,255.28,159.42,4915,4996,5001
Asia,154,Cereal,Online,C,1/15/2010,8776,1/17/2010,5765,205.7,117.11,5967,5656,6702
Central America and the Caribbean,12,Personal Care,Online,L,7/14/2012,9622,7/18/2012,1418,81.73,56.67,1413,1544,1343
Europe,91,Fruits,Online,L,9/19/2016,6464,10/15/2016,8669,9.33,6.92,1107,1238,1000
Central America and the Caribbean,45,Office Supplies,Offline,H,2/3/2010,3761,3/1/2010,7992,651.21,524.96,9257,9307,8776
Europe,146,Household,Offline,C,4/22/2015,6803,4/22/2015,6890,668.27,502.54,9092,9013,8986
Europe,48,Fruits,Online,C,8/21/2010,6671,8/28/2010,4900,9.33,6.92,636,703,566
Sub-Saharan Africa,87,Household,Online,H,1/27/2017,5162,3/13/2017,8590,668.27,502.54,9402,9352,9353
Europe,55,Beverages,Offline,C,3/29/2011,9919,4/21/2011,6557,47.45,31.79,2546,2815,2470
Australia and Oceania,125,Fruits,Online,H,6/20/2012,9360,7/31/2012,4433,9.33,6.92,555,622,495
Europe,107,Household,Offline,C,11/13/2010,7660,11/24/2010,9878,668.27,502.54,9590,9547,9541
Australia and Oceania,123,Cosmetics,Offline,L,7/18/2016,9827,8/22/2016,7584,437.2,263.33,8441,8090,9245
Central America and the Caribbean,134,Household,Online,M,5/19/2010,6578,6/13/2010,4276,668.27,502.54,8180,8208,7907
Australia and Oceania,112,Cereal,Online,M,12/18/2015,9363,1/21/2016,3708,205.7,117.11,4647,4562,5129
Middle East and North Africa,182,Baby Food,Online,C,7/10/2012,5617,8/5/2012,1665,255.28,159.42,3193,3395,3387
Europe,55,Cosmetics,Online,M,6/3/2014,3350,6/9/2014,967,437.2,263.33,3179,3276,3500
Sub-Saharan Africa,143,Cereal,Offline,H,5/16/2014,6475,6/26/2014,6460,205.7,117.11,6332,5979,7218
Sub-Saharan Africa,133,Office Supplies,Online,L,7/5/2017,9587,8/9/2017,26,651.21,524.96,236,286,153
Middle East and North Africa,140,Office Supplies,Online,H,11/21/2014,3195,11/28/2014,5574,651.21,524.96,8624,8730,7882
Europe,55,Household,Online,H,7/25/2017,8438,8/9/2017,4048,668.27,502.54,8099,8113,7740
Europe,99,Fruits,Online,L,12/7/2014,2491,1/3/2015,8422,9.33,6.92,1079,1196,978
Asia,151,Office Supplies,Online,M,5/23/2016,2877,5/26/2016,8699,651.21,524.96,9387,9430,8932
Sub-Saharan Africa,47,Vegetables,Online,M,4/3/2017,3309,4/17/2017,6917,154.06,90.93,5627,5473,6064
Europe,67,Baby Food,Offline,M,2/12/2010,8049,3/3/2010,2142,255.28,159.42,3755,4079,3954
Sub-Saharan Africa,40,Vegetables,Online,L,5/10/2011,7338,6/22/2011,5474,154.06,90.93,4938,4874,5267
Australia and Oceania,172,Office Supplies,Offline,H,11/27/2011,2005,1/12/2012,5042,651.21,524.96,8423,8606,7584
Middle East and North Africa,86,Clothes,Offline,L,5/6/2011,8672,5/9/2011,1007,109.28,35.84,1378,743,2000
Sub-Saharan Africa,109,Vegetables,Online,L,2/3/2014,4966,3/3/2014,561,154.06,90.93,1189,1059,1340
Middle East and North Africa,82,Household,Online,M,7/3/2010,3953,8/18/2010,2929,668.27,502.54,7389,7590,6498
Asia,119,Meat,Offline,H,11/29/2010,9762,12/20/2010,4365,421.89,364.69,7214,7743,4467
Asia,20,Baby Food,Offline,H,8/2/2011,2256,9/5/2011,3155,255.28,159.42,4812,4902,4909
Asia,126,Baby Food,Online,M,8/19/2013,1867,10/6/2013,4617,255.28,159.42,5949,5899,6124
Middle East and North Africa,108,Meat,Offline,L,8/30/2011,5104,10/12/2011,6099,421.89,364.69,8016,8270,5293
Central America and the Caribbean,136,Beverages,Offline,L,9/13/2012,9033,10/21/2012,1982,47.45,31.79,1301,1306,1263
Central America and the Caribbean,42,Vegetables,Offline,C,4/9/2017,6694,4/21/2017,8675,154.06,90.93,6351,6111,7033
Central America and the Caribbean,65,Baby Food,Online,M,8/7/2015,1670,9/13/2015,9623,255.28,159.42,7913,7671,8612
Middle East and North Africa,82,Snacks,Online,L,2/15/2014,3568,3/30/2014,298,152.58,97.44,633,591,786
Middle East and North Africa,73,Beverages,Online,M,7/24/2016,2626,7/25/2016,3204,47.45,31.79,1631,1772,1603
Europe,48,Beverages,Online,C,7/18/2012,4874,9/4/2012,2880,47.45,31.79,1539,1651,1510
Sub-Saharan Africa,79,Snacks,Online,L,9/17/2011,7152,9/19/2011,891,152.58,97.44,1533,1594,1571
Central America and the Caribbean,5,Cosmetics,Offline,M,3/7/2017,2190,3/9/2017,836,437.2,263.33,2827,2928,3180
Asia,97,Clothes,Online,M,3/19/2014,3237,4/9/2014,3346,109.28,35.84,2828,1946,4423
Central America and the Caribbean,168,Baby Food,Offline,C,11/6/2011,9572,12/23/2011,1081,255.28,159.42,2335,2470,2487
Australia and Oceania,179,Meat,Online,H,5/27/2016,1166,5/30/2016,3733,421.89,364.69,6889,7430,4055
Sub-Saharan Africa,25,Meat,Offline,C,7/19/2012,3755,8/19/2012,3027,421.89,364.69,6196,7027,3567
Sub-Saharan Africa,130,Personal Care,Online,C,7/7/2012,3821,7/12/2012,7718,81.73,56.67,4113,4579,3803
Australia and Oceania,112,Household,Online,M,6/18/2014,3712,7/6/2014,8591,668.27,502.54,9403,9353,9354
Sub-Saharan Africa,16,Fruits,Offline,M,10/27/2013,6535,12/13/2013,3463,9.33,6.92,438,489,390
Asia,17,Cosmetics,Offline,H,8/30/2014,1093,10/3/2014,2184,437.2,263.33,5292,5269,5571
Europe,176,Personal Care,Online,C,10/6/2010,7097,10/16/2010,1633,81.73,56.67,1517,1663,1435
Central America and the Caribbean,134,Vegetables,Online,C,2/10/2012,9995,2/29/2012,722,154.06,90.93,1384,1365,1517
Middle East and North Africa,86,Vegetables,Offline,L,10/29/2010,5969,12/9/2010,5393,154.06,90.93,4904,4842,5223
Sub-Saharan Africa,184,Vegetables,Offline,M,3/29/2015,7031,4/20/2015,3619,154.06,90.93,3807,3977,4217
Sub-Saharan Africa,156,Cereal,Offline,H,10/25/2015,5938,12/10/2015,405,205.7,117.11,1142,983,1349
Asia,161,Cereal,Online,H,8/27/2011,1270,9/3/2011,2788,205.7,117.11,3879,3949,4433
Asia,11,Cereal,Offline,L,4/13/2014,2400,5/27/2014,4834,205.7,117.11,5412,5234,5986
Sub-Saharan Africa,102,Fruits,Online,H,7/27/2013,4391,7/28/2013,2643,9.33,6.92,342,379,301
Middle East and North Africa,129,Fruits,Offline,H,10/25/2011,3115,11/11/2011,9345,9.33,6.92,1208,1349,1096
Sub-Saharan Africa,95,Fruits,Online,M,5/19/2012,387,6/30/2012,100,9.33,6.92,8,9,7
Europe,142,Meat,Online,H,11/27/2015,8483,12/9/2015,7101,421.89,364.69,8255,8571,5805
Asia,161,Cosmetics,Offline,H,7/8/2016,5900,8/7/2016,4571,437.2,263.33,7449,7218,8233
Australia and Oceania,50,Vegetables,Offline,M,3/15/2013,1493,4/18/2013,3766,154.06,90.93,3909,4087,4321
Asia,106,Beverages,Offline,H,8/1/2013,74,8/30/2013,7971,47.45,31.79,2894,3263,2845
Asia,78,Baby Food,Offline,H,12/26/2014,7268,12/30/2014,7504,255.28,159.42,7331,7212,7953
Middle East and North Africa,149,Cosmetics,Offline,C,10/19/2015,4511,11/3/2015,4714,437.2,263.33,7545,7275,8315
Europe,127,Meat,Online,H,9/11/2011,3819,9/15/2011,8980,421.89,364.69,8705,8909,6738
Europe,72,Office Supplies,Offline,M,7/21/2014,3204,8/17/2014,1714,651.21,524.96,5793,6551,4082
Asia,126,Household,Online,L,10/24/2010,1396,11/22/2010,1358,668.27,502.54,5129,5689,4181
Central America and the Caribbean,15,Household,Offline,L,9/14/2010,2892,9/29/2010,8385,668.27,502.54,9374,9316,9324
Middle East and North Africa,2,Baby Food,Offline,L,2/24/2014,2932,3/31/2014,301,255.28,159.42,1059,993,1225
Asia,126,Beverages,Online,H,7/29/2014,2631,9/12/2014,6641,47.45,31.79,2565,2841,2496
Asia,78,Clothes,Offline,C,4/3/2010,3734,5/16/2010,3973,109.28,35.84,3256,2164,4815
